SECURITIES;ERROR CODE;NUM FLDS;ID_ISIN;CRNCY;PX_CLOSE_DT;PX_LAST;AMT_OUTSTANDING;SP_EFF_DT;RTG_SP;RTG_SP_LT_LC_ISS_CRED_RTG_DT;RTG_SP_LT_LC_ISSUER_CREDIT;FITCH_EFF_DT;RTG_FITCH_LT_ISSUER_DFLT_RTG_DT;RTG_FITCH;RTG_FITCH_LT_ISSUER_DEFAULT;RTG_FITCH_SEN_UNSEC_RTG_DT;RTG_FITCH_SEN_UNSECURED;MOODY_EFF_DT;RTG_MOODY_LONG_TERM_DATE;RTG_MOODY;RTG_MOODY_LONG_TERM;RTG_MDY_ISSUER_RTG_DT;RTG_MDY_ISSUER;RTG_MDY_SEN_UNSECURED_DEBT;PX_BID;PX_ASK;PREV_CPN_DT;MTG_FACTOR_SET_DT;DAYS_ACC;DUR_ADJ_ASK;DUR_ADJ_BID;DUR_ADJ_MID;OAS_SPREAD_MID;OAS_SPREAD_BID;OAS_SPREAD_ASK;MTG_LIFE_FLOOR;MTG_LIFE_CAP;DEFAULT_PERCENT;MTG_WACPN;NXT_CPN_DT;CPN;PX_YEST_CLOSE;YLD_YTM_MID;PX_YEST_DT;HIGH_52WEEK;HIGH_DT_52WEEK;LOW_52WEEK;LOW_DT_52WEEK;CV_START_DT;CV_CNVS_PX;YLD_YTM_BID;YLD_YTM_ASK;PREVIOUS_TOTAL_VOLUME;CUR_MKT_CAP;PX_VOLUME;TURNOVER;VOLATILITY_30D;VOLATILITY_90D;VOLATILITY_360D;EQY_FLOAT;EQY_SH_OUT;REL_INDEX;ROBECOSAM_TOTAL_STBLY_RANK;ENVIRONMENTAL_SCORE;SOCIAL_SCORE;GOVERNANCE_SCORE;EARN_YLD_HIST;BDVD_NEXT_EST_EX_DT;BDVD_PROJ_DIV_AMT;DVD_SH_LAST;FUND_TOTAL_ASSETS;FUND_CLASS_ASSETS
MORAMFZ LX Equity;0;17;LU0360484686;USD;04/05/2023;94.440000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.440000  ;;04/05/2023;114.190000  ;11/08/2022;78.220000  ;16/06/2022;;;;;N.A.;;0  ;;24.693  ;35.991  ;52.487  ;;;;;;;;;;;;4268.6690  ;739.141  
MORAMZH LX Equity;0;17;LU0360484769;EUR;04/05/2023;91.620000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91.620000  ;;04/05/2023;114.790000  ;11/08/2022;77.260000  ;06/01/2023;;;;;N.A.;;0  ;;24.732  ;35.949  ;52.484  ;;;;;;;;;;;;4268.6690  ;271.552  
MORAMZX LX Equity;0;17;LU0360613169;USD;04/05/2023;80.590000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.590000  ;;04/05/2023;97.450000  ;11/08/2022;66.750000  ;16/06/2022;;;;;N.A.;;0  ;;24.722  ;36.005  ;52.490  ;;;;;;;;;;;;4268.6690  ;31.243  
MORGBAH LX Equity;0;17;LU0335216932;EUR;04/05/2023;101.490000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101.490000  ;;04/05/2023;104.610000  ;16/08/2022;85.020000  ;13/10/2022;;;;;N.A.;;0  ;;10.761  ;14.486  ;20.661  ;;;;;;;;;;;;22005.5300  ;1791.615  
MORGBRA LX Equity;0;17;LU0119620416;USD;04/05/2023;192.950000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192.950000  ;;04/05/2023;195.300000  ;03/05/2023;158.510000  ;13/10/2022;;;;;N.A.;;0  ;;10.740  ;14.482  ;20.655  ;;;;;;;;;;;;22005.5300  ;7119.401  
MORGBRI LX Equity;0;17;LU0119620176;USD;04/05/2023;226.020000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226.020000  ;;04/05/2023;228.780000  ;03/05/2023;184.760000  ;13/10/2022;;;;;N.A.;;0  ;;10.764  ;14.492  ;20.653  ;;;;;;;;;;;;22005.5300  ;2618.599  
MORGBRZ LX Equity;0;17;LU0360482987;USD;04/05/2023;97.420000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.420000  ;;04/05/2023;98.610000  ;03/05/2023;79.600000  ;13/10/2022;;;;;N.A.;;0  ;;10.769  ;14.506  ;20.659  ;;;;;;;;;;;;22005.5300  ;4702.415  
MORGBZH LX Equity;0;17;LU0360483019;EUR;04/05/2023;99.510000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.510000  ;;04/05/2023;101.850000  ;16/08/2022;82.900000  ;13/10/2022;;;;;N.A.;;0  ;;10.760  ;14.504  ;20.666  ;;;;;;;;;;;;22005.5300  ;1532.661  
MPKOGRE LX Equity;0;17;LU1851968443;EUR;03/05/2023;191.290000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191.290000  ;;03/05/2023;198.410000  ;13/04/2023;127.960000  ;26/09/2022;;;;;N.A.;;0  ;;20.402  ;27.371  ;34.811  ;;;;;;;;;;;;630.7873  ;2.912  
MSAIAHE LX Equity;0;17;LU1378879248;EUR;04/05/2023;38.530000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.530000  ;;04/05/2023;44.090000  ;23/01/2023;31.180000  ;24/10/2022;;;;;N.A.;;0  ;;17.718  ;21.368  ;32.251  ;;;;;;;;;;;;4783.7810  ;302.523  
